English	Standard	Silêmanî	Hewlêr	Mehabad	Sine
Come in, please	دە فەرموو دەی	دە فەرموو دەی	دە فەرموو دەی	دە فەرموو دەی	دەی فەرموو دەی
I swear, I chased him to the council right there	وەڵا ڕاوم نا بۆ ئەنجومەنەکەی ئەو بەرە	وەڵا ڕاوم نا بۆ ئەنجومەنەکەی ئەو بەرە	وەڵا ڕاوم نا هەتا ئەنجومەنەکەی ئەوبەری	وەڵا ڕە پێم نا بۆ ئەنجومەنەکەی ئەو بەری	وەڵا ڕاوم نیا بەرەو ئەنجومەنەکەی ئەو بەرە
One time you say remove it, a second time you say reserve it	یەکەم جار ئەڵێی لایبە دووەم جار ئەڵێی حیجزی ئەکەم	یەکەم جار ئەڵێی لایبە دووەم جار ئەڵێی حیجزی ئەکەم	یەکەم جار دەرێی لایبە، دووەم جار دەرێی دەیگرم	یەکەم جار دەڵێی لایبە دووهەم جار دەڵێی ڕزروی کە	ئەوەڵ ڕا ئەیژی لایوە دووەم ڕا ئەیژی ڕزروی کە
Everyone goes with Kurdish clothes	خەڵک کە بە جلی کوردییەوە ئەچێ	خەڵک کە بە جلی کوردییەوە ئەچێ	خەرک کە بە جلکی کوردی دەڕوا	خەڵکی کە بە جلی کوردییەوە دەڕوا	خەڵک کە بە جل کوردییەو ئەچێ
That is none of your business	ئیلاقەی بە جەنابتەوە نییە	ئیلاقەی بە جەنابتەوە نییە	عیلاقەی بە جەنابتەوە نییە	ڕەبتێکی بە جەنابتەوە نێ	ڕەبتی بە جەنابتەو نییە
Don't go! Don't go!	نەڕۆی! نەڕۆی!	نەڕۆی! نەڕۆی!	نەچی! نەچی!	نەڕۆی! نەڕۆی!	نەچی! نەچی!
I swear no one loves and respects law as much as I do	وەڵای کەس بەقەد من قانوونی خۆش ناوێ ئیحترامی ناگرێ	وەڵای کەس بەقەی من قانوونی خۆش ناوێ ئیحترامی ناگرێ	وەڵا کەس بە قەدەرەمن قانوونی خۆش ناوێ ئیحتیرامی ناگری	وەڵڵاهی کەس بە قەد من قانوونی خۆش ناوێ ئیحترامی ناگرێ	وەڵا کە بە قەو من قانوونی خوەش ناگەرەک ئحترامی ناگرێ
What? Did you talk to me?	ها؟ لەگەڵ منتان بوو	ها؟ لەگەڵ منتان بوو	ها؟ لەگەر منتان بوو	ها؟ دەگەڵ منتان بوو	ها؟ لەتەک منتان بوو
They receive and they allow them	وەرئەگرن و ئیجازەیان ئەدەینێ	وەرئەگرن و ئیجازەیان ئەیەنێ	وەردەگرن و ئینجازەیان دەدەنێ	وەردەگرن و ئیجازەیان دەدەنێ	ئەگرن و ئیجازەیان پێ ئان
It doesn't have that of Kulera bread.	هینی کولێرەی پێوە نییە	هینی کولێرەی پێوە نییە	ئی کولێرەی پێوە نێ	ئی کوللێرەی پێوە نێ	هین کولێرەی پێو نییە
